Query,Time-In-MilliSeconds
select count(*) as aggregate from `route_names` where (`name` = 'item.store'), 0.24
select `id` from `route_names` where (`name` = 'item.store') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'item.update'), 0.23
select `id` from `route_names` where (`name` = 'item.update') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'login'), 0.22
select `id` from `route_names` where (`name` = 'login') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'logout'), 0.23
select `id` from `route_names` where (`name` = 'logout') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'logs.email'), 0.24
select `id` from `route_names` where (`name` = 'logs.email') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'party.activate'), 0.24
select `id` from `route_names` where (`name` = 'party.activate') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'party.ajax_get'), 0.22
select `id` from `route_names` where (`name` = 'party.ajax_get') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'party.create'), 0.24
select `id` from `route_names` where (`name` = 'party.create') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'party.de_activate'), 0.23
select `id` from `route_names` where (`name` = 'party.de_activate') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'party.destroy'), 0.23
select `id` from `route_names` where (`name` = 'party.destroy') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'party.edit'), 0.24
select `id` from `route_names` where (`name` = 'party.edit') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'party.index'), 0.24
select `id` from `route_names` where (`name` = 'party.index') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'party.show'), 0.24
select `id` from `route_names` where (`name` = 'party.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'party.store'), 0.23
select `id` from `route_names` where (`name` = 'party.store') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'party.update'), 0.24
